"","V1","V2","V3","V5","V6","V8","V9","V10","V11","V12","V13","V14","V15","V16","mi[, 19]"
"81",13,13,23,69,35,90,12,6,33,16,13,39,4,5,0.359926226014774
"82",12,12,32,70,36,99,17,7,32,37,34,38,4,4,0.514082092059264
"83",23,12,36,58,40,99,11,8,26,15,6,34,2,5,0.801432486933722
"84",25,12,35,58,37,85,8,7,21,11,5,28,4,5,1.13807381216721
"85",11,12,23,60,6,70,10,7,25,13,15,35,4,4,0.692486242786388
"86",14,10,20,69,40,87,11,8,25,14,10,36,2,5,1.86052567694937
"87",16,19,36,50,43,97,10,5,32,24,12,34,2,4,2.1477510124609
"88",18,15,28,62,24,67,13,8,23,16,25,0,2,4,0.900172647824683
"89",19,19,32,43,27,99,9,6,21,28,15,25,5,5,1.45790566178716
"90",18,9,25,79,27,91,17,8,33,21,30,38,10,4,0.377044863623558
"91",16,14,31,67,40,70,14,7,27,16,0,32,0,5,0.963362073880825
"92",20,20,38,50,21,71,10,6,16,13,6,27,2,2,1.00010488884954
"93",18,13,24,57,23,87,7,4,22,15,10,31,4,4,2.42036051312053
"94",23,14,40,60,20,75,9,5,28,24,30,34,5,5,0.334417159685547
"95",22,12,41,52,33,87,10,6,25,16,13,35,4,4,0.253031244458599
"96",16,12,31,70,37,98,10,7,15,16,6,37,2,5,1.18876266809795
"97",15,9,18,71,33,90,11,7,32,26,30,36,6,5,0.01
"98",18,16,39,52,40,72,9,6,33,29,7,38,3,5,0.479048705141419
"99",20,9,23,59,35,90,6,7,21,7,4,31,9,5,0.564297614711077
"100",13,19,39,52,45,89,11,7,28,20,17,38,7,2,1.34892980873351
"101",18,11,24,61,25,87,5,4,11,10,3,28,2,5,0.833944548659011
"102",13,7,26,60,20,69,10,4,17,18,25,22,4,5,0.58428479805553
"103",19,16,28,55,42,110,7,4,22,12,5,32,2,5,3.83483262546394
"104",11,8,28,55,30,79,7,6,31,18,11,38,3,2,0.82717321806303
"105",13,13,20,52,27,71,12,8,36,18,28,37,2,5,0.6226558468084
"106",13,13,25,60,43,103,8,9,26,22,14,38,9,4,0.449020291806351
"107",15,22,31,62,31,72,9,6,29,20,11,37,9,2,0.814485298368722
"108",16,19,45,52,28,78,13,8,21,28,21,39,3,2,0.397094590777141
"109",21,18,39,51,35,97,12,8,30,17,15,38,3,5,0.271002774788434
"110",19,15,40,45,18,72,14,7,38,26,37,39,3,3,0.337392761793333
"111",14,15,34,64,25,85,15,8,38,30,31,39,6,4,0.628993580674983
"112",21,20,47,45,32,110,5,6,18,13,7,22,8,5,0.580093087218448
"113",15,20,45,45,27,84,8,8,24,19,31,36,2,4,0.996674794506198
"114",16,13,38,55,39,101,10,7,26,18,17,35,10,5,1.68993762146353
"115",24,20,47,43,25,95,10,5,34,31,23,39,5,5,0.232760764771747
"116",18,19,31,50,50,117,3,6,27,7,9,38,2,3,0.416703456333198
"117",17,18,36,51,42,110,7,7,11,2,12,28,9,5,0.702869454142095
"118",18,14,37,52,32,90,2,3,30,18,3,38,9,5,1.49311527436721
"119",13,14,26,69,35,78,17,9,32,28,36,36,0,2,1.05930208278532
"120",18,24,31,42,36,84,10,4,14,11,5,34,1,5,1.72725734835973
"121",14,25,30,59,47,137,6,4,15,15,9,38,10,4,0.954052458827731
"122",20,11,26,61,43,91,12,8,39,27,42,39,6,3,0.271836083401975
"123",21,14,34,65,26,95,15,8,30,25,18,38,4,2,0.562295541689224
"124",23,33,50,51,33,76,13,3,12,11,8,31,0,5,0.697416401518874
"125",18,25,44,67,20,93,12,8,18,9,9,39,6,5,0.261955132289578
"126",17,8,33,75,48,127,11,8,27,22,21,36,4,5,0.715973498082645
"127",15,16,30,70,48,116,12,5,33,23,18,37,9,2,0.111197299016419
"128",11,18,28,51,37,108,10,7,22,14,22,36,5,5,0.297816525520867
"129",21,12,40,50,31,97,15,4,36,23,16,36,2,5,0.149615413759797
"130",14,28,40,60,41,110,11,5,29,23,26,39,5,4,0.218556569180416
