17,16,30,63,60,44,38,106,84,11,6,16,11,14,33,3,6586.084066,5127.122601,3,12,0.260593650952821,2.39433046998798,0.2
10,31,37,78,51,92,39,107,108,6,5,27,9,13,39,4,6402.501108,5601.247301,4,1,0.519091786709566,2.31794231543938,0.6
12,18,34,64,55,53,41,109,104,8,5,9,14,20,19,2,6846.155078,4703.248437,4,10,0.656366209314775,2.51371173025017,0.4
28,31,50,109,45,67,35,103,108,9,3,11,6,3,30,0,7713.284786,5482.051374,2,6,0.317546045650405,1.74364153464674,0.9
17,14,27,58,60,75,43,98,108,7,2,31,16,12,38,9,6018.947237,5242.672915,4,6,0.360591003243193,1.86214922548487,0.1
26,10,27,63,60,93,34,102,110,14,9,26,22,27,35,10,7378.287772,5568.995561,2,5,0.455431294979542,1.70949069317891,0.1
20,21,39,80,51,63,20,83,97,13,6,25,22,32,18,3,6131.546335,4464.291358,4,1,0.40918307293524,2.33578394471857,4.6
12,13,20,45,65,70,46,115,97,14,8,35,25,27,38,4,5548.860542,5076.821737,5,1,0.277066873653732,2.04207252441018,0.2
12,12,38,62,65,28,39,107,78,13,8,28,18,23,37,9,6174.84916,5271.158157,4,9,1.96325918873589,3.67002634054722,40.4
19,20,39,78,51,41,45,114,117,10,8,25,21,9,31,3,5366.111897,4996.976278,2,2,1.15470241015154,2.76371845510477,14.1
19,17,31,67,55,60,38,103,87,9,8,23,13,15,39,6,5339.094122,4919.729753,5,1,0.813836728832976,2.90008375382788,3.4
12,19,34,65,65,27,8,70,64,9,5,23,14,11,38,2,5223.508411,4309.672341,4,7,2.19829927142157,4.17321820809389,10.2
19,22,44,85,55,53,41,109,106,10,3,34,12,9,39,6,5092.341028,3842.787035,4,6,0.461974258151095,2.4609872405787,0.3
17,13,30,60,65,42,25,88,79,13,7,29,16,19,39,9,6392.023906,4701.291689,4,19,1.06808420247847,2.1250280230481,3.6
18,13,30,61,60,58,33,100,91,14,8,23,25,16,31,2,6901.226136,5863.772209,5,17,0.631303993950523,3.15602945005474,0.2
15,17,37,69,61,73,26,93,110,6,2,26,25,13,36,6,6661.042672,5238.884591,5,12,0.387892670111157,3.15602505547921,0.6
21,14,30,65,60,86,29,96,106,12,8,29,39,41,38,9,5784.199608,4995.370961,4,5,0.401886154330286,2.54063040207795,1
27,12,40,79,50,63,28,92,81,15,6,25,14,7,29,5,5616.287331,4677.878372,4,1,1.98290867723244,2.6104975500784,19.2
17,14,26,57,70,61,26,93,87,13,9,34,21,27,35,5,6388.069359,4979.864021,4,14,1.11120461705333,3.04598903824605,4.4
14,37,38,89,50,33,11,73,71,6,6,10,3,3,31,0,5395.908979,4919.471994,4,1,0.716348060344437,2.69767949409448,1.1
12,15,36,63,61,41,18,84,93,7,7,23,9,28,33,3,6137.362722,4562.898444,4,3,0.577728948601762,3.02571841005141,4.7
20,16,41,77,61,58,13,75,88,11,7,20,20,13,33,2,6194.12272,5501.730412,4,1,0.331346606059927,2.59206755071896,1.4
23,16,44,83,50,56,25,92,81,11,8,29,23,31,36,3,6191.430692,4989.982068,4,2,0.367945922243915,2.50565744193454,0.4
29,12,44,85,55,52,27,90,82,13,3,35,24,36,36,0,5462.192788,3948.525641,5,8,0.814602094143547,5.16722571844925,4.2
