rho,Mij,alpha,gamma,Stochastic Resonance 
0.8247292,0.05705364,0.7799444,4.266006,no
0.08954789,0.03931855,0.3604028,2.429812,yes
0.7650292,0.1125054,0.3105442,1.837313,no
0.1150817,0.006571417,0.1963831,2.442647,yes
0.5533469,0.03451398,0.1820625,4.976698,yes
0.1312907,0.1170885,0.5888862,3.294399,no
0.9724099,0.009894072,0.261665,3.986043,no
0.8857989,0.1028122,0.6455075,1.179387,no
0.4231972,0.1256546,0.9145499,4.497249,no
0.5658744,0.1226289,0.4037194,3.102637,no
0.5034677,0.05223442,0.227203,2.238272,no
0.7238097,0.1688333,0.9506201,1.4966,no
0.3653132,0.004385076,0.4666273,0.1928522,no
0.01215442,0.1103987,0.5190903,2.720259,yes
0.9826922,0.1130197,0.01283106,2.871742,no
0.4761131,0.09679845,0.2667079,0.3231036,no
0.08191085,0.1334928,0.5381875,0.1575159,no
0.1392347,0.05124744,0.2699717,1.562794,yes
0.6363939,0.1350452,0.653709,2.368152,no
0.4693532,0.06643425,0.4032373,4.715895,no
0.7997409,0.008719611,0.7364565,1.768272,no
0.8446959,0.1198654,0.6912275,2.106336,no
0.8909513,0.1786979,0.1707279,1.429027,no
0.4731156,0.1196005,0.4275912,0.2594327,no
0.1148739,0.1638685,0.2798379,1.609951,no
0.6184736,0.03408467,0.3523801,1.785156,no
0.9097141,0.1997375,0.999591,1.987903,no
0.3988605,0.1683181,0.909217,1.115319,no
0.8856835,0.08794637,0.08014131,1.191153,no
0.9726314,0.09088239,0.1218587,3.537531,no
0.3677637,0.004060753,0.8123841,3.082344,no
0.1117181,0.07776624,0.2159051,3.108548,yes
0.2274264,0.06938842,0.5145759,2.566809,no
0.04358143,0.05935159,0.2343727,0.1350734,no
0.5302929,0.05365964,0.7822189,3.289557,no
0.4680733,0.02185613,0.8188643,1.734518,yes
0.2453997,0.08904429,0.6926915,2.844563,no
0.5245491,0.07637293,0.2131738,2.247501,no
0.1475831,0.1160941,0.3965587,2.974392,no
0.495031,0.0511422,0.5835884,4.436579,yes
0.5913451,0.05120297,0.3596612,3.069321,no
0.3150332,0.008177106,0.7157595,1.813184,no
0.02853073,0.07661077,0.8281584,4.780304,yes
0.4428536,0.1869451,0.3423561,4.96757,no
0.6048128,0.1686009,0.3766461,4.679895,no
0.5886515,0.05481992,0.3083937,2.430245,no
0.6466326,0.1584578,0.3374163,1.103758,no
0.1382459,0.05422976,0.1929899,4.355715,yes
0.6718179,0.08485105,0.3752632,0.5696595,no
0.8771962,0.08203754,0.3432091,3.107,no
0.3557211,0.1929171,0.5718402,3.019377,no
0.2402118,0.04216036,0.4741844,3.282097,no
0.833457,0.1881606,0.6828349,1.801242,no
0.370484,0.08350235,0.8660331,4.106922,no
0.7452705,0.1243566,0.3671741,3.548801,no
0.2865293,9.01E-05,0.6377716,1.529319,no
0.6743921,0.1181339,0.216956,4.530372,no
0.5549608,0.1794129,0.9526123,2.835964,no
0.8467747,0.0178836,0.6355128,3.205923,no
0.1134635,0.1911746,0.2976416,3.031319,no
0.9160508,0.1315766,0.1723817,1.097421,no
0.8877148,0.05734397,0.4452679,1.7208,no
0.1161974,0.1037295,0.335364,2.920113,no
0.1230583,0.1462913,0.1196249,2.918494,yes
0.5548103,0.07490342,0.9999892,0.7878004,no
