"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"79",11,13,25,49,55,34,101,102,77,10,6,17,13,23,29,2,5,13,5,4,5,4,2,6,3,5,6,2,2,5,2,4,2,6,5,5,6,2,2,4,2,2,2,2,2,2,4,4,10,0.822333417553085
"80",22,16,36,74,67,47,124,116,88,15,9,37,21,18,38,3,5,1,2,3,4,2,2,3,2,5,5,5,4,5,4,4,2,2,2,3,2,5,2,2,2,4,3,4,2,4,3,8,11,0.659940243164032
"81",13,13,23,49,69,35,103,103,90,12,6,33,16,13,39,4,5,4,7,2,7,2,6,6,3,3,3,2,2,6,2,4,2,6,3,4,3,2,3,7,2,2,6,2,2,2,4,2,8,0.359926226014774
"82",12,12,32,56,70,36,104,104,99,17,7,32,37,34,38,4,4,1,2,5,4,4,2,5,4,4,5,2,2,6,2,3,4,6,2,4,2,2,3,3,2,2,2,3,2,2,5,3,11,0.514082092059264
"83",23,12,36,71,58,40,106,105,99,11,8,26,15,6,34,2,5,8,2,7,4,4,4,3,2,4,2,5,4,3,3,4,2,2,3,4,3,2,3,3,2,6,4,6,2,2,2,6,8,0.801432486933722
"84",25,12,35,72,58,37,101,102,85,8,7,21,11,5,28,4,5,2,3,3,2,2,2,4,2,5,5,6,6,5,7,3,2,2,2,3,2,5,2,3,2,5,7,5,2,2,4,13,12,1.13807381216721
"85",11,12,23,46,60,6,50,70,70,10,7,25,13,15,35,4,4,3,2,2,4,2,2,2,2,5,4,2,2,3,3,3,2,2,2,4,3,3,2,2,2,2,3,3,2,4,2,5,7,0.692486242786388
"86",14,10,20,44,69,40,106,105,87,11,8,25,14,10,36,2,5,8,2,4,2,2,2,3,2,4,3,4,2,4,4,2,3,5,3,3,2,2,2,2,3,3,2,2,2,2,4,5,6,1.86052567694937
"87",16,19,36,71,50,43,117,112,97,10,5,32,24,12,34,2,4,10,6,2,6,4,2,4,3,2,4,4,2,4,3,4,2,5,4,4,6,2,2,5,3,2,6,2,5,2,5,2,7,2.1477510124609
"88",18,15,28,61,62,24,83,90,67,13,8,23,16,25,0,2,4,7,3,4,6,3,4,4,2,2,4,4,2,2,2,2,3,7,2,5,5,2,2,4,2,2,3,2,4,3,6,1,5,0.900172647824683
"89",19,19,32,70,43,27,83,90,99,9,6,21,28,15,25,5,5,11,4,2,6,2,2,5,2,2,4,2,2,4,2,3,2,6,4,2,5,2,2,4,2,2,2,2,4,2,4,1,7,1.45790566178716
"90",18,9,25,52,79,27,83,90,91,17,8,33,21,30,38,10,4,10,4,5,3,3,2,4,2,2,3,7,2,3,5,4,5,6,4,4,5,2,3,4,2,5,5,4,2,3,5,4,7,0.377044863623558
"91",16,14,31,61,67,40,106,105,70,14,7,27,16,0,32,0,5,4,4,3,2,3,4,3,2,3,4,5,2,4,2,2,3,3,4,3,4,2,2,4,4,3,5,3,3,2,3,2,8,0.963362073880825
